Rk,Player,School,Conf,G,Att,Yds,TD
266,Ross Comis,Massachusetts,Ind,11,86,255,6
267,Sam Ehlinger*,Texas,Big 12,14,164,482,16
268,Jordan Ta'amu,Ole Miss,SEC,12,116,342,6
269,Ian Book*,Notre Dame,Ind,10,95,280,4
270,Tyler Vitt,Texas State,Sun Belt,9,81,237,2
271,Charlie Brewer*,Baylor,Big 12,13,133,375,7
272,Tyler Huntley*,Utah,Pac-12,9,108,304,4
273,Blake Barnett*,South Florida,American,11,107,301,8
274,Alex Delton,Kansas State,Big 12,7,85,234,2
275,Jonathan Ward,Central Michigan,MAC,9,76,212,1
276,Marcus Childers*,Northern Illinois,MAC,14,194,531,6
277,Cole McDonald*,Hawaii,MWC,13,134,359,4
278,Sam Hartman*,Wake Forest,ACC,9,107,275,2
279,Steven Montez,Colorado,Pac-12,12,94,238,4
280,Zach Abey,Navy,American,11,125,306,14
281,Kato Nelson,Akron,MAC,11,131,303,1
282,Gus Ragland,Miami (OH),MAC,12,92,214,7
283,Brian Lewerke*,Michigan State,Big Ten,11,90,184,2
284,Kenny Pickett*,Pitt,ACC,14,117,221,3
285,J'mar Smith*,Louisiana Tech,CUSA,13,90,159,3
286,Josh Adkins,New Mexico State,Ind,10,86,117,0
287,Jawon Pass,Louisville,ACC,11,76,93,2
288,Brent Stockstill*,Middle Tennessee State,CUSA,14,127,140,2
289,Deondre Francois,Florida State,ACC,11,78,16,3
290,Brett Rypien,Boise State,MWC,13,85,12,0
